,train_interval,test_interval,num_of_h0
0,"[2010-10-13 15:33:52+00:00, 2011-04-13 15:33:52+00:00]","(2011-04-13 15:33:52+00:00, 2011-10-13 15:33:52+00:00]",1306
1,"[2010-10-13 15:33:52+00:00, 2011-04-13 15:33:52+00:00]","(2011-10-13 15:33:52+00:00, 2012-04-13 15:33:52+00:00]",1300
2,"[2010-10-13 15:33:52+00:00, 2011-04-13 15:33:52+00:00]","(2012-04-13 15:33:52+00:00, 2012-10-13 15:33:52+00:00]",1281
3,"[2010-10-13 15:33:52+00:00, 2011-04-13 15:33:52+00:00]","(2012-10-13 15:33:52+00:00, 2013-04-13 15:33:52+00:00]",1234
4,"[2010-10-13 15:33:52+00:00, 2011-04-13 15:33:52+00:00]","(2013-04-13 15:33:52+00:00, 2013-10-13 15:33:52+00:00]",1265
5,"[2010-10-13 15:33:52+00:00, 2011-04-13 15:33:52+00:00]","(2013-10-13 15:33:52+00:00, 2014-04-13 15:33:52+00:00]",1284
6,"[2010-10-13 15:33:52+00:00, 2011-04-13 15:33:52+00:00]","(2014-04-13 15:33:52+00:00, 2014-10-13 15:33:52+00:00]",1186
7,"[2010-10-13 15:33:52+00:00, 2011-04-13 15:33:52+00:00]","(2014-10-13 15:33:52+00:00, 2015-04-13 15:33:52+00:00]",1222
8,"[2011-04-13 15:33:52+00:00, 2011-10-13 15:33:52+00:00]","(2011-10-13 15:33:52+00:00, 2012-04-13 15:33:52+00:00]",1279
9,"[2011-04-13 15:33:52+00:00, 2011-10-13 15:33:52+00:00]","(2012-04-13 15:33:52+00:00, 2012-10-13 15:33:52+00:00]",1200
10,"[2011-04-13 15:33:52+00:00, 2011-10-13 15:33:52+00:00]","(2012-10-13 15:33:52+00:00, 2013-04-13 15:33:52+00:00]",1137
11,"[2011-04-13 15:33:52+00:00, 2011-10-13 15:33:52+00:00]","(2013-04-13 15:33:52+00:00, 2013-10-13 15:33:52+00:00]",1190
12,"[2011-04-13 15:33:52+00:00, 2011-10-13 15:33:52+00:00]","(2013-10-13 15:33:52+00:00, 2014-04-13 15:33:52+00:00]",1180
