,train_interval,test_interval,num_of_h0
0,"[2010-10-07 14:57:14+00:00, 2011-04-07 14:57:14+00:00]","(2011-04-07 14:57:14+00:00, 2011-10-07 14:57:14+00:00]",852
1,"[2010-10-07 14:57:14+00:00, 2011-04-07 14:57:14+00:00]","(2011-10-07 14:57:14+00:00, 2012-04-07 14:57:14+00:00]",812
2,"[2010-10-07 14:57:14+00:00, 2011-04-07 14:57:14+00:00]","(2012-04-07 14:57:14+00:00, 2012-10-07 14:57:14+00:00]",767
3,"[2010-10-07 14:57:14+00:00, 2011-04-07 14:57:14+00:00]","(2012-10-07 14:57:14+00:00, 2013-04-07 14:57:14+00:00]",712
4,"[2010-10-07 14:57:14+00:00, 2011-04-07 14:57:14+00:00]","(2013-04-07 14:57:14+00:00, 2013-10-07 14:57:14+00:00]",727
5,"[2010-10-07 14:57:14+00:00, 2011-04-07 14:57:14+00:00]","(2013-10-07 14:57:14+00:00, 2014-04-07 14:57:14+00:00]",734
6,"[2010-10-07 14:57:14+00:00, 2011-04-07 14:57:14+00:00]","(2014-04-07 14:57:14+00:00, 2014-10-07 14:57:14+00:00]",719
7,"[2010-10-07 14:57:14+00:00, 2011-04-07 14:57:14+00:00]","(2014-10-07 14:57:14+00:00, 2015-04-07 14:57:14+00:00]",712
8,"[2011-04-07 14:57:14+00:00, 2011-10-07 14:57:14+00:00]","(2011-10-07 14:57:14+00:00, 2012-04-07 14:57:14+00:00]",794
9,"[2011-04-07 14:57:14+00:00, 2011-10-07 14:57:14+00:00]","(2012-04-07 14:57:14+00:00, 2012-10-07 14:57:14+00:00]",683
10,"[2011-04-07 14:57:14+00:00, 2011-10-07 14:57:14+00:00]","(2012-10-07 14:57:14+00:00, 2013-04-07 14:57:14+00:00]",629
11,"[2011-04-07 14:57:14+00:00, 2011-10-07 14:57:14+00:00]","(2013-04-07 14:57:14+00:00, 2013-10-07 14:57:14+00:00]",608
12,"[2011-04-07 14:57:14+00:00, 2011-10-07 14:57:14+00:00]","(2013-10-07 14:57:14+00:00, 2014-04-07 14:57:14+00:00]",609
13,"[2011-04-07 14:57:14+00:00, 2011-10-07 14:57:14+00:00]","(2014-04-07 14:57:14+00:00, 2014-10-07 14:57:14+00:00]",627
14,"[2011-04-07 14:57:14+00:00, 2011-10-07 14:57:14+00:00]","(2014-10-07 14:57:14+00:00, 2015-04-07 14:57:14+00:00]",609
15,"[2011-10-07 14:57:14+00:00, 2012-04-07 14:57:14+00:00]","(2012-04-07 14:57:14+00:00, 2012-10-07 14:57:14+00:00]",761
16,"[2011-10-07 14:57:14+00:00, 2012-04-07 14:57:14+00:00]","(2012-10-07 14:57:14+00:00, 2013-04-07 14:57:14+00:00]",706
17,"[2011-10-07 14:57:14+00:00, 2012-04-07 14:57:14+00:00]","(2013-04-07 14:57:14+00:00, 2013-10-07 14:57:14+00:00]",656
18,"[2011-10-07 14:57:14+00:00, 2012-04-07 14:57:14+00:00]","(2013-10-07 14:57:14+00:00, 2014-04-07 14:57:14+00:00]",641
19,"[2011-10-07 14:57:14+00:00, 2012-04-07 14:57:14+00:00]","(2014-04-07 14:57:14+00:00, 2014-10-07 14:57:14+00:00]",638
20,"[2011-10-07 14:57:14+00:00, 2012-04-07 14:57:14+00:00]","(2014-10-07 14:57:14+00:00, 2015-04-07 14:57:14+00:00]",645
21,"[2012-04-07 14:57:14+00:00, 2012-10-07 14:57:14+00:00]","(2012-10-07 14:57:14+00:00, 2013-04-07 14:57:14+00:00]",749
22,"[2012-04-07 14:57:14+00:00, 2012-10-07 14:57:14+00:00]","(2013-04-07 14:57:14+00:00, 2013-10-07 14:57:14+00:00]",701
23,"[2012-04-07 14:57:14+00:00, 2012-10-07 14:57:14+00:00]","(2013-10-07 14:57:14+00:00, 2014-04-07 14:57:14+00:00]",691
24,"[2012-04-07 14:57:14+00:00, 2012-10-07 14:57:14+00:00]","(2014-04-07 14:57:14+00:00, 2014-10-07 14:57:14+00:00]",661
25,"[2012-04-07 14:57:14+00:00, 2012-10-07 14:57:14+00:00]","(2014-10-07 14:57:14+00:00, 2015-04-07 14:57:14+00:00]",672
26,"[2012-10-07 14:57:14+00:00, 2013-04-07 14:57:14+00:00]","(2013-04-07 14:57:14+00:00, 2013-10-07 14:57:14+00:00]",841
27,"[2012-10-07 14:57:14+00:00, 2013-04-07 14:57:14+00:00]","(2013-10-07 14:57:14+00:00, 2014-04-07 14:57:14+00:00]",764
28,"[2012-10-07 14:57:14+00:00, 2013-04-07 14:57:14+00:00]","(2014-04-07 14:57:14+00:00, 2014-10-07 14:57:14+00:00]",727
29,"[2012-10-07 14:57:14+00:00, 2013-04-07 14:57:14+00:00]","(2014-10-07 14:57:14+00:00, 2015-04-07 14:57:14+00:00]",728
30,"[2013-04-07 14:57:14+00:00, 2013-10-07 14:57:14+00:00]","(2013-10-07 14:57:14+00:00, 2014-04-07 14:57:14+00:00]",841
31,"[2013-04-07 14:57:14+00:00, 2013-10-07 14:57:14+00:00]","(2014-04-07 14:57:14+00:00, 2014-10-07 14:57:14+00:00]",797
32,"[2013-04-07 14:57:14+00:00, 2013-10-07 14:57:14+00:00]","(2014-10-07 14:57:14+00:00, 2015-04-07 14:57:14+00:00]",780
33,"[2013-10-07 14:57:14+00:00, 2014-04-07 14:57:14+00:00]","(2014-04-07 14:57:14+00:00, 2014-10-07 14:57:14+00:00]",878
34,"[2013-10-07 14:57:14+00:00, 2014-04-07 14:57:14+00:00]","(2014-10-07 14:57:14+00:00, 2015-04-07 14:57:14+00:00]",824
35,"[2014-04-07 14:57:14+00:00, 2014-10-07 14:57:14+00:00]","(2014-10-07 14:57:14+00:00, 2015-04-07 14:57:14+00:00]",820
